open_time,open,high,low,close,volume
2026-08-17 16:54:00,607.4,607.4,607.16,607.31,153.925
2026-08-17 16:57:00,607.31,607.83,607.31,607.59,114.13
2026-08-17 17:00:00,607.6,607.6,607.25,607.26,94.094
2026-08-17 17:03:00,607.27,607.27,606.81,606.96,200.835
2026-08-17 17:06:00,606.95,607.18,606.95,607.17,134.6
2026-08-17 17:09:00,607.18,607.18,606.9,606.91,185.979
2026-08-17 17:12:00,606.91,606.95,606.58,606.58,199.058
2026-08-17 17:15:00,606.59,607.06,606.45,607.05,100.362
2026-08-17 17:18:00,607.06,607.75,607.06,607.58,158.47
2026-08-17 17:21:00,607.59,607.89,607.59,607.64,164.32
2026-08-17 17:24:00,607.65,607.65,606.9,607.06,138.289
2026-08-17 17:27:00,607.07,607.07,606.24,606.42,603.354
2026-08-17 17:30:00,606.43,606.43,605.84,606.0,219.253
2026-08-17 17:33:00,606.01,606.01,605.83,605.98,99.506
2026-08-17 17:36:00,605.98,606.29,605.71,606.28,125.854
2026-08-17 17:39:00,606.29,606.48,606.19,606.48,140.594
2026-08-17 17:42:00,606.48,606.49,606.15,606.19,193.587
2026-08-17 17:45:00,606.19,606.53,606.18,606.19,87.004
2026-08-17 17:48:00,606.19,606.35,606.18,606.24,76.621
2026-08-17 17:51:00,606.24,606.46,606.18,606.18,230.254
2026-08-17 17:54:00,606.18,606.29,606.18,606.22,60.131
2026-08-17 17:57:00,606.21,606.3,606.15,606.15,101.641
2026-08-17 18:00:00,606.16,606.24,605.97,606.16,168.11
2026-08-17 18:03:00,606.15,606.36,606.15,606.15,146.867
2026-08-17 18:06:00,606.15,606.23,606.06,606.06,160.618
2026-08-17 18:09:00,606.07,606.18,606.0,606.18,73.031
2026-08-17 18:12:00,606.18,606.43,606.15,606.16,116.033
2026-08-17 18:15:00,606.16,606.84,606.16,606.84,155.51
2026-08-17 18:18:00,606.84,606.88,606.14,606.31,169.118
2026-08-17 18:21:00,606.32,607.3,606.27,607.26,453.802
2026-08-17 18:24:00,607.25,607.29,606.82,607.06,147.239
2026-08-17 18:27:00,607.05,607.18,606.75,606.82,101.396
2026-08-17 18:30:00,606.83,606.83,606.43,606.44,88.265
2026-08-17 18:33:00,606.43,606.44,606.3,606.38,85.709
2026-08-17 18:36:00,606.39,606.66,606.38,606.39,76.251
2026-08-17 18:39:00,606.38,606.46,606.35,606.35,93.821
2026-08-17 18:42:00,606.35,606.36,606.21,606.36,120.439
2026-08-17 18:45:00,606.36,606.39,606.2,606.25,58.773
2026-08-17 18:48:00,606.24,606.57,606.23,606.48,152.873
2026-08-17 18:51:00,606.48,606.62,606.25,606.3,135.01
2026-08-17 18:54:00,606.3,606.46,606.29,606.38,75.279
2026-08-17 18:57:00,606.38,606.4,606.26,606.39,46.589
2026-08-17 19:00:00,606.4,606.4,605.96,605.96,69.657
2026-08-17 19:03:00,605.97,606.02,605.91,605.93,59.088
2026-08-17 19:06:00,605.94,606.09,605.84,606.08,56.389
2026-08-17 19:09:00,606.09,606.09,605.7,605.7,235.341
2026-08-17 19:12:00,605.69,605.7,605.32,605.32,540.201
