open_time,open,high,low,close,volume
2026-08-17 16:55:00,607.29,607.83,607.16,607.59,237.591
2026-08-17 17:00:00,607.6,607.6,607.0,607.01,170.204
2026-08-17 17:05:00,607.01,607.18,606.81,607.12,313.538
2026-08-17 17:10:00,607.12,607.17,606.58,606.58,330.824
2026-08-17 17:15:00,606.59,607.75,606.45,607.68,175.784
2026-08-17 17:20:00,607.68,607.89,607.17,607.18,332.726
2026-08-17 17:25:00,607.17,607.18,606.24,606.42,656.285
2026-08-17 17:30:00,606.43,606.43,605.83,605.84,279.153
2026-08-17 17:35:00,605.83,606.29,605.71,606.21,246.453
2026-08-17 17:40:00,606.22,606.49,606.15,606.19,253.188
2026-08-17 17:45:00,606.19,606.53,606.18,606.28,152.487
2026-08-17 17:50:00,606.28,606.46,606.18,606.23,257.887
2026-08-17 17:55:00,606.23,606.3,606.15,606.15,145.277
2026-08-17 18:00:00,606.16,606.36,605.97,606.34,281.826
2026-08-17 18:05:00,606.33,606.34,606.06,606.07,218.059
2026-08-17 18:10:00,606.07,606.43,606.0,606.16,164.774
2026-08-17 18:15:00,606.16,606.88,606.16,606.26,204.298
2026-08-17 18:20:00,606.27,607.3,606.14,606.92,648.146
2026-08-17 18:25:00,606.93,607.18,606.75,606.82,174.621
2026-08-17 18:30:00,606.83,606.83,606.3,606.39,136.233
2026-08-17 18:35:00,606.39,606.66,606.35,606.35,132.452
2026-08-17 18:40:00,606.35,606.46,606.21,606.36,195.8
2026-08-17 18:45:00,606.36,606.39,606.2,606.36,197.37
2026-08-17 18:50:00,606.37,606.62,606.25,606.29,168.306
2026-08-17 18:55:00,606.3,606.46,606.26,606.39,102.848
2026-08-17 19:00:00,606.4,606.4,605.91,605.93,116.645
2026-08-17 19:05:00,605.94,606.09,605.84,605.97,96.366
2026-08-17 19:10:00,605.97,605.97,605.32,605.32,747.665
2026-08-17 19:15:00,605.32,605.72,605.18,605.35,451.972
2026-08-17 19:20:00,605.35,605.5,605.31,605.5,133.345
2026-08-17 19:25:00,605.5,605.64,605.41,605.59,123.504
2026-08-17 19:30:00,605.58,605.58,604.95,604.95,261.445
2026-08-17 19:35:00,604.95,605.62,604.95,605.61,294.764
2026-08-17 19:40:00,605.62,605.66,605.27,605.39,200.587
2026-08-17 19:45:00,605.38,605.39,605.22,605.22,75.062
2026-08-17 19:50:00,605.23,605.23,605.14,605.15,75.811
2026-08-17 19:55:00,605.14,605.25,605.14,605.24,170.934
2026-08-17 20:00:00,605.25,605.25,605.1,605.11,149.095
2026-08-17 20:05:00,605.1,605.11,605.08,605.08,79.759
2026-08-17 20:10:00,605.08,605.11,605.08,605.1,86.238
2026-08-17 20:15:00,605.11,605.21,605.0,605.14,92.409
2026-08-17 20:20:00,605.15,605.49,605.14,605.38,128.742
2026-08-17 20:25:00,605.38,605.76,605.38,605.62,111.534
2026-08-17 20:30:00,605.63,605.63,605.46,605.48,108.585
2026-08-17 20:35:00,605.49,605.49,605.34,605.38,63.104
2026-08-17 20:40:00,605.37,605.61,605.37,605.6,315.028
2026-08-17 20:45:00,605.61,605.66,605.53,605.53,317.345
2026-08-17 20:50:00,605.53,605.54,605.35,605.39,174.113
2026-08-17 20:55:00,605.4,605.79,605.39,605.54,360.188
2026-08-17 21:00:00,605.55,606.08,605.54,606.05,356.482
2026-08-17 21:05:00,606.06,606.06,605.96,605.97,55.283
2026-08-17 21:10:00,605.96,605.97,605.77,605.78,116.595
2026-08-17 21:15:00,605.78,605.84,605.72,605.73,62.714
2026-08-17 21:20:00,605.72,605.73,605.52,605.53,67.608
2026-08-17 21:25:00,605.53,605.53,605.4,605.4,63.401
2026-08-17 21:30:00,605.4,605.42,605.1,605.41,428.985
2026-08-17 21:35:00,605.42,605.42,605.0,605.02,169.273
2026-08-17 21:40:00,605.01,605.32,605.0,605.25,114.808
