open_time,open,high,low,close,volume
2026-08-17 16:54:00,1906.16,1907.16,1905.37,1907.15,422.6499
2026-08-17 16:57:00,1907.15,1907.58,1906.83,1907.22,186.228
2026-08-17 17:00:00,1907.21,1907.22,1906.56,1907.01,220.9051
2026-08-17 17:03:00,1907.0,1907.01,1905.65,1906.55,288.9746
2026-08-17 17:06:00,1906.54,1906.76,1905.85,1906.55,373.9646
2026-08-17 17:09:00,1906.54,1907.0,1905.64,1905.93,252.6838
2026-08-17 17:12:00,1905.93,1906.24,1905.01,1905.21,1085.9417
2026-08-17 17:15:00,1905.21,1907.71,1905.0,1907.71,1095.2923
2026-08-17 17:18:00,1907.71,1911.68,1907.71,1911.63,898.3833
2026-08-17 17:21:00,1911.64,1914.19,1911.64,1913.36,881.0246
2026-08-17 17:24:00,1913.36,1914.1,1909.08,1910.96,852.748
2026-08-17 17:27:00,1910.96,1911.2,1908.56,1908.64,271.554
2026-08-17 17:30:00,1908.65,1908.65,1906.69,1908.14,153.7509
2026-08-17 17:33:00,1908.14,1908.25,1906.49,1906.5,338.1042
2026-08-17 17:36:00,1906.49,1909.55,1904.59,1909.54,756.9168
2026-08-17 17:39:00,1909.54,1909.54,1907.89,1909.22,329.9204
2026-08-17 17:42:00,1909.23,1909.44,1907.76,1907.86,258.3453
2026-08-17 17:45:00,1907.85,1909.77,1907.85,1908.31,175.8677
2026-08-17 17:48:00,1908.3,1909.3,1908.3,1908.87,143.4343
2026-08-17 17:51:00,1908.87,1909.37,1908.49,1908.49,359.8825
2026-08-17 17:54:00,1908.49,1909.52,1908.46,1909.19,132.1775
2026-08-17 17:57:00,1909.2,1909.37,1908.9,1908.91,56.8962
2026-08-17 18:00:00,1908.9,1909.19,1907.76,1908.34,132.7227
2026-08-17 18:03:00,1908.34,1909.18,1907.86,1908.37,320.9412
2026-08-17 18:06:00,1908.38,1908.92,1907.43,1907.43,226.5179
2026-08-17 18:09:00,1907.44,1908.26,1907.33,1908.01,161.61
2026-08-17 18:12:00,1908.01,1909.77,1908.01,1908.74,271.1335
2026-08-17 18:15:00,1908.75,1911.6,1908.54,1911.59,234.4195
2026-08-17 18:18:00,1911.59,1911.82,1909.21,1909.21,198.9532
2026-08-17 18:21:00,1909.22,1912.91,1909.08,1912.3,628.2933
2026-08-17 18:24:00,1912.3,1912.75,1910.5,1911.1,378.2219
2026-08-17 18:27:00,1911.1,1912.0,1910.1,1910.62,477.3271
2026-08-17 18:30:00,1910.63,1910.89,1909.53,1909.7,116.7484
2026-08-17 18:33:00,1909.71,1909.95,1908.54,1909.95,343.6384
2026-08-17 18:36:00,1909.95,1911.07,1909.87,1910.18,273.707
2026-08-17 18:39:00,1910.18,1910.35,1909.29,1909.91,328.8528
2026-08-17 18:42:00,1909.92,1911.02,1909.03,1910.82,357.1746
2026-08-17 18:45:00,1910.82,1910.82,1909.95,1909.95,131.7916
2026-08-17 18:48:00,1909.96,1910.85,1909.27,1910.48,137.9769
2026-08-17 18:51:00,1910.49,1911.52,1909.76,1909.79,617.8856
2026-08-17 18:54:00,1909.8,1910.65,1909.79,1910.3,130.6815
2026-08-17 18:57:00,1910.29,1910.29,1909.8,1910.01,126.2272
2026-08-17 19:00:00,1910.0,1910.0,1907.46,1907.89,166.2502
2026-08-17 19:03:00,1907.89,1908.52,1907.13,1908.12,351.0415
2026-08-17 19:06:00,1908.13,1910.2,1908.09,1909.81,156.2733
2026-08-17 19:09:00,1909.8,1909.8,1908.62,1908.62,207.6256
2026-08-17 19:12:00,1908.62,1908.62,1906.91,1906.92,123.5068
2026-08-17 19:15:00,1906.91,1908.68,1906.91,1908.35,309.6183
2026-08-17 19:18:00,1908.34,1908.34,1906.91,1907.35,167.876
2026-08-17 19:21:00,1907.35,1908.61,1906.69,1908.61,267.0823
2026-08-17 19:24:00,1908.61,1909.77,1907.82,1909.77,146.3873
2026-08-17 19:27:00,1909.77,1910.43,1909.77,1909.84,99.4858
2026-08-17 19:30:00,1909.83,1909.83,1908.36,1908.37,330.1101
2026-08-17 19:33:00,1908.36,1908.36,1907.73,1907.73,82.0181
2026-08-17 19:36:00,1907.74,1910.29,1907.74,1910.09,228.0904
2026-08-17 19:39:00,1910.09,1910.92,1910.09,1910.34,205.0844
2026-08-17 19:42:00,1910.33,1910.72,1909.39,1909.64,125.4313
2026-08-17 19:45:00,1909.63,1909.64,1909.01,1909.23,81.9528
2026-08-17 19:48:00,1909.22,1909.31,1908.68,1908.78,74.9137
2026-08-17 19:51:00,1908.78,1908.78,1907.86,1908.16,172.7464
2026-08-17 19:54:00,1908.16,1908.16,1907.41,1907.57,134.3622
2026-08-17 19:57:00,1907.58,1908.28,1907.1,1907.25,295.6242
2026-08-17 20:00:00,1907.24,1907.64,1906.73,1906.91,165.6457
2026-08-17 20:03:00,1906.91,1906.91,1906.12,1906.12,136.5548
2026-08-17 20:06:00,1906.12,1906.42,1905.88,1906.04,133.2582
2026-08-17 20:09:00,1906.04,1906.54,1906.04,1906.23,102.703
2026-08-17 20:12:00,1906.23,1906.9,1906.23,1906.62,76.4271
2026-08-17 20:15:00,1906.63,1906.63,1906.06,1906.15,211.6799
